S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
774,"Triticum aestivum","Quality traits","Quality traits",MQTL6B.1,6B,26.995-28.745,"S_1054930, GTG.CTT1",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
775,"Triticum aestivum","Quality traits","Quality traits",MQTL6B.2,6B,62.655-62.865,"Xdupw16, wPt745074",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
776,"Triticum aestivum","Quality traits","Quality traits",MQTL6D.1,6D,33.725-38.195,"AX86177993, cfd13c",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
777,"Triticum aestivum","Quality traits","Quality traits",MQTL6D.2,6D,75.76-78.72,"BobWhite_c13435_700, wPt666008",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
778,"Triticum aestivum","Quality traits","Quality traits",MQTL6D.3,6D,116.54-121.72,"Xfbb9b, AX94381525",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
779,"Triticum aestivum","Quality traits","Quality traits",MQTL6D.4,6D,164.965-165.075,"IWB4527, IWB58414",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
780,"Triticum aestivum","Quality traits","Quality traits",MQTL7A.1,7A,57.08-80.58,"M103823, GBS_539",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
781,"Triticum aestivum","Quality traits","Quality traits",MQTL7A.2,7A,148.05-154.43,"tarc0748, gwm332",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
782,"Triticum aestivum","Quality traits","Quality traits",MQTL7B.1,7B,1.105-1.295,"Excalibur_c22830_2010, Excalibur_c16580_388",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
783,"Triticum aestivum","Quality traits","Quality traits",MQTL7B.2,7B,14.665-15.035,"Kukri_c16416_647, Xgwm1250",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
784,"Triticum aestivum","Quality traits","Quality traits",MQTL7B.3,7B,46.835-50.385,"wPt_0789, snp2273",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
785,"Triticum aestivum","Quality traits","Quality traits",MQTL7B.4,7B,78.115-81.765,"wPt_2592, D_3938216",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
786,"Triticum aestivum","Quality traits","Quality traits",MQTL7B.5,7B,92.32-95.8,"wPt_732048, wPt7368",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
787,"Triticum aestivum","Quality traits","Quality traits",MQTL7B.6,7B,231.26-234.52,"Xgwm0037, RFL_Contig4686_700",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
788,"Triticum aestivum","Quality traits","Quality traits",MQTL7D.1,7D,12.67-20.15,"Xgwm350, Xgwm974",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
789,"Triticum aestivum","Quality traits","Quality traits",MQTL7D.2,7D,40.08-45.78,"AX110940110, wPt664368",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
790,"Triticum aestivum","Quality traits","Quality traits",MQTL7D.3,7D,55.265-64.215,"IWB6964, S_1162003",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
791,"Triticum aestivum","Quality traits","Quality traits",MQTL7D.4,7D,66.805-75.075,"Xgwm0437, D_1135134",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
792,"Triticum aestivum","Quality traits","Quality traits",MQTL7D.5,7D,114.92-121.22,"AX110579501, Excalibur_rep_c83019_155",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
793,"Triticum aestivum","Quality traits","Quality traits",MQTL7D.6,7D,290.615-305.365,"CAP8_rep_c9420_186, Excalibur_rep_c85891_96",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
794,"Triticum aestivum",Thermotolerance,"Acquired thermotolerance",MQTL5B.2,5B,"200.295 - 202.185",1026809D_BooWhite_c1973_383,-,https://doi.org/10.1007/s11032-021-01264-7
795,"Triticum aestivum",Thermotolerance,"Acquired thermotolerance",MQTL3A.4,3A,"189.75 - 190.07","BobWhite_c15763_205, barc54",-,https://doi.org/10.1007/s11032-021-01264-7
796,"Triticum aestivum",Thermotolerance,"Ash content",MQTL6B.2,6B,"158.995 - 162.805","BobWhite_c32377_278, wPt689",-,https://doi.org/10.1007/s11032-021-01264-7
797,"Triticum aestivum",Thermotolerance,"bread break shard",MQTL4D.1,4D,"0 - 7.31","IACX11246, CAP8_c2722_258",-,https://doi.org/10.1007/s11032-021-01264-7
798,"Triticum aestivum",Thermotolerance,"bread break shard",MQTL2B.3,2B,"140.66 - 145.92",1125044D_wmc764,-,https://doi.org/10.1007/s11032-021-01264-7
799,"Triticum aestivum",Thermotolerance,"bread symmetry",MQTL2A.4,2A,"95.705 - 96.395","Excalibur_c38761_288, BS00104558_51",-,https://doi.org/10.1007/s11032-021-01264-7
800,"Triticum aestivum",Thermotolerance,"canopy temperature at vegetative stage",MQTL3B.1,3B,"57.32 - 60.04","wsnp_Ex_c1097_2105209(R), Tdurum_contig44013_164",-,https://doi.org/10.1007/s11032-021-01264-7
801,"Triticum aestivum",Thermotolerance,"Chlorophyll content (SPAD value)",MQTL2B.4,2B,"158.08 - 163.68","wPt2106, wPt4195",-,https://doi.org/10.1007/s11032-021-01264-7
802,"Triticum aestivum",Thermotolerance,"Cytoplasmic membrane stability",MQTL7A.4,7A,"110.64 - 111.92","gwm1187, EXCALIBUR_C1625_1215",-,https://doi.org/10.1007/s11032-021-01264-7
803,"Triticum aestivum",Thermotolerance,"Cytoplasmic membrane stability",MQTL7B.2,7B,"101.425 - 104.115","wmc546.1, 1102954|F|0, 30:C>T, 30:C>T",-,https://doi.org/10.1007/s11032-021-01264-7
804,"Triticum aestivum",Thermotolerance,"Days to Heading",MQTL7A.6,7A,"122.045 - 124.515","wPt5153, wPt5533",-,https://doi.org/10.1007/s11032-021-01264-7
805,"Triticum aestivum",Thermotolerance,"Days to Heading",MQTL7D.5,7D,"354.14 - 354.8","RAC875_c39217_314, gwm1123",-,https://doi.org/10.1007/s11032-021-01264-7
806,"Triticum aestivum",Thermotolerance,"Days to Heading",MQTL4B.4,4B,"134.705 - 136.315","Kukri_c27037_112, barc340a",-,https://doi.org/10.1007/s11032-021-01264-7
807,"Triticum aestivum",Thermotolerance,"Days to Heading",MQTL5D.1,5D,"27.865 - 28.855","BS00034658_51, D_GCE8AKX02GJQ22_146",-,https://doi.org/10.1007/s11032-021-01264-7
808,"Triticum aestivum",Thermotolerance,"days to maturity",MQTL4B.6,4B,"157.055 - 159.445","wPt11509, wPt4537",-,https://doi.org/10.1007/s11032-021-01264-7
809,"Triticum aestivum",Thermotolerance,"days to maturity",MQTL7D.6,7D,"377.125 - 383.395","gwm350, Kukri_c37802_1215",-,https://doi.org/10.1007/s11032-021-01264-7
810,"Triticum aestivum",Thermotolerance,"days to maturity",MQTL2B.1,2B,"73.8 - 75.18",979087S_BS00075855_51,-,https://doi.org/10.1007/s11032-021-01264-7
811,"Triticum aestivum",Thermotolerance,"days to maturity",MQTL2A.2,2A,"55.955 - 65.265","AX111714220, Ra_c69660_1577",-,https://doi.org/10.1007/s11032-021-01264-7
812,"Triticum aestivum",Thermotolerance,"Dry gluten content",MQTL7B.3,7B,"120.82 - 122.44",1220186D_GENE4507_56,-,https://doi.org/10.1007/s11032-021-01264-7
813,"Triticum aestivum",Thermotolerance,"Dry gluten content",MQTL4D.2,4D,"30.105 - 38.955","GENE2463_463, Kukri_c29521_123",-,https://doi.org/10.1007/s11032-021-01264-7
814,"Triticum aestivum",Thermotolerance,"Falling number",MQTL4B.2,4B,"100.08 - 106.1","Tdurum_contig60051_169, wsnp_Ex_c18433_27269748",-,https://doi.org/10.1007/s11032-021-01264-7
815,"Triticum aestivum",Thermotolerance,"Falling number",MQTL1D.1,1D,"117.43 - 134.57",1228670S_BS00000721_51,-,https://doi.org/10.1007/s11032-021-01264-7
816,"Triticum aestivum",Thermotolerance,"Falling number",MQTL2D.2,2D,"124.255 - 128.645","Kukri_c11566_386, gdm87a",-,https://doi.org/10.1007/s11032-021-01264-7
817,"Triticum aestivum",Thermotolerance,"Farinograph dough stability time",MQTL4A.3,4A,"676.51 - 681.93","cfa2256, mgb7",-,https://doi.org/10.1007/s11032-021-01264-7
818,"Triticum aestivum",Thermotolerance,"Farinograph water absorption",MQTL1B.4,1B,"120.815 - 120.925","wsnp_Ex_c1137_2183723, wsnp_Ku_c7822_13408189",-,https://doi.org/10.1007/s11032-021-01264-7
819,"Triticum aestivum",Thermotolerance,"Flag leaf length",MQTL5B.1,5B,"105.77 - 112.49",1032121S_Ra_c28545_196,-,https://doi.org/10.1007/s11032-021-01264-7
820,"Triticum aestivum",Thermotolerance,"Flag leaf length",MQTL1B.3,1B,"105.395 - 111.705","wPt0944, D_contig37179_75",-,https://doi.org/10.1007/s11032-021-01264-7
821,"Triticum aestivum",Thermotolerance,"Flag leaf width",MQTL1D.3,1D,"224.52 - 247.98","Kukri_cA592_935, Ku_c17846_363",-,https://doi.org/10.1007/s11032-021-01264-7
822,"Triticum aestivum",Thermotolerance,"Flag leaf width",MQTL7A.3,7A,"104.05 - 108.41","gwm1187, EXCALIBUR_C1625_1215",-,https://doi.org/10.1007/s11032-021-01264-7
823,"Triticum aestivum",Thermotolerance,"Flour moisture",MQTL3A.1,3A,"82.63 - 117.53",2278441D_BobWhite_c17386_221,-,https://doi.org/10.1007/s11032-021-01264-7
824,"Triticum aestivum",Thermotolerance,"Flour protein content",MQTL6A.1,6A,"444.49 - 446.99","wsnp_Ra_rep_c79566_75592262(R), gdm36b",-,https://doi.org/10.1007/s11032-021-01264-7
825,"Triticum aestivum",Thermotolerance,"Fv variable fuorescence",MQTL1A.3,1A,"99.73 - 101.77","gdm33, gwm33a",-,https://doi.org/10.1007/s11032-021-01264-7
826,"Triticum aestivum",Thermotolerance,"normalized difference vegetation index at vegetative",MQTL3D.3,3D,"176.41 - 177.29","Kukri_rep_c96809_352, gwm114a",-,https://doi.org/10.1007/s11032-021-01264-7
827,"Triticum aestivum",Thermotolerance,"Grain weight per spike",MQTL4B.1,4B,"70.705 - 76.695","wsnp_Ex_rep_c73742_71687509(R), wsnp_Ex_c30695_39579408(R)",-,https://doi.org/10.1007/s11032-021-01264-7
828,"Triticum aestivum",Thermotolerance,"Grain yield per spike",MQTL6B.3,6B,"180.255 - 192.385","RAC875_c16962_288, wmc419",-,https://doi.org/10.1007/s11032-021-01264-7
829,"Triticum aestivum",Thermotolerance,"Grain yield",MQTL1B.2,1B,"100.17 - 100.55","wPt0944, cwm90",-,https://doi.org/10.1007/s11032-021-01264-7
830,"Triticum aestivum",Thermotolerance,"Grain yield",MQTL3A.2,3A,"145.75 - 148.29","Excalibur_c21521_1318, Kukri_c35153_956",-,https://doi.org/10.1007/s11032-021-01264-7
831,"Triticum aestivum",Thermotolerance,"Grain-filling duration",MQTL2A.1,2A,"33.72 - 39.7","wmc382b, barc124",-,https://doi.org/10.1007/s11032-021-01264-7
832,"Triticum aestivum",Thermotolerance,"Harvest indext",MQTL7D.2,7D,"232.17 - 245.73","RAC875_rep_c105462_468, gwm535_1",-,https://doi.org/10.1007/s11032-021-01264-7
833,"Triticum aestivum",Thermotolerance,"Heat susceptibility index for thousand grain weight",MQTL1A.5,1A,"136.825 - 139.155","Tdurum_contig11756_264, gwm691",-,https://doi.org/10.1007/s11032-021-01264-7
834,"Triticum aestivum",Thermotolerance,"Heat susceptibility index for thousand grain weight",MQTL2B.5,2B,"332.745 - 352.575","RAC875, c37639_94, gwm935",-,https://doi.org/10.1007/s11032-021-01264-7
835,"Triticum aestivum",Thermotolerance,"Heat susceptibility index",MQTL7A.7,7A,"152.285 - 154.775","RAC875_c9506_343, Kukri_c38390_218",-,https://doi.org/10.1007/s11032-021-01264-7
836,"Triticum aestivum",Thermotolerance,"Heat susceptibility index",MQTL5D.4,5D,"135.85 - 142.73","wsnp_Ex_rep_c69631_68583363, D_GDEEGVY01D91EB_346",-,https://doi.org/10.1007/s11032-021-01264-7
837,"Triticum aestivum",Thermotolerance,"HSI grain filling duration",MQTL1D.2,1D,"213.92 - 216.9","Excalibur_c16851_835, Kukri_c8533_1398",-,https://doi.org/10.1007/s11032-021-01264-7
838,"Triticum aestivum",Thermotolerance,"HSI kernel number",MQTL1A.4,1A,"105.55 - 107.67","gwm33a, gwm1104",-,https://doi.org/10.1007/s11032-021-01264-7
839,"Triticum aestivum",Thermotolerance,"HSI kernel weight",MQTL6D.1,6D,"53.69 - 54.55","CAP11_rep_c6864_291, Ra_c23837_298",-,https://doi.org/10.1007/s11032-021-01264-7
840,"Triticum aestivum",Thermotolerance,"HSI_Single kernel weight main spike",MQTL5A.1,5A,"347.665 - 350.755","gwm865, gwm330",-,https://doi.org/10.1007/s11032-021-01264-7
841,"Triticum aestivum",Thermotolerance,"HSI_Single kernel weight main spike",MQTL2D.1,2D,"112.405 - 115.435","GENE0644_42, RAC875_C4314_993",-,https://doi.org/10.1007/s11032-021-01264-7
842,"Triticum aestivum",Thermotolerance,"Individual kernel weight",MQTL5A.2,5A,"358.115 - 360.425","utv711, wmc189_1",-,https://doi.org/10.1007/s11032-021-01264-7
843,"Triticum aestivum",Thermotolerance,"Kernel hardness; Height",MQTL4B.3,4B,"127.47 - 130.27","Kukri_c27037_112, barc340a",-,https://doi.org/10.1007/s11032-021-01264-7
844,"Triticum aestivum",Thermotolerance,"length of the ear peduncle",MQTL3A.3,3A,"166.06 - 167.34","Kukri_c35153_956, BobWhite_c15763_205",-,https://doi.org/10.1007/s11032-021-01264-7
845,"Triticum aestivum",Thermotolerance,"Maximum efficiency of photosystem II (Fv;Fm)",MQTL6A.2,6A,"470.875 - 472.225","RZ876, GTG.ACGC, 108",-,https://doi.org/10.1007/s11032-021-01264-7
846,"Triticum aestivum",Thermotolerance,"Maximum efficiency of photosystem II (Fv;Fm)",MQTL6B.1,6B,"145.415 - 147.365","barc211, BobWhite_c11652_421",-,https://doi.org/10.1007/s11032-021-01264-7
847,"Triticum aestivum",Thermotolerance,"bread break shard",MQTL2D.3,2D,"152.95 - 154.81","D_GA8KES401CIV9Z_240, BS00022276_51",-,https://doi.org/10.1007/s11032-021-01264-7
848,"Triticum aestivum",Thermotolerance,"Mixograph peak height",MQTL5B.5,5B,"289.755 - 304.485","wsnp_Ex_c12127_19394952(R), Excalibur_c80450_75",-,https://doi.org/10.1007/s11032-021-01264-7
849,"Triticum aestivum",Thermotolerance,"Mixograph peak time",MQTL2A.3,2A,"87.77 - 89.79","Ra_c31463_148, RAC875_c54668_102",-,https://doi.org/10.1007/s11032-021-01264-7
850,"Triticum aestivum",Thermotolerance,"Mixograph peak height",MQTL3B.2,3B,"84.855 - 86.305","wPt7472, wPt10552",-,https://doi.org/10.1007/s11032-021-01264-7
851,"Triticum aestivum",Thermotolerance,"Mixograph peak height",MQTL1A.1,1A,"33.425 - 59.175","P3615.2, BobWhite_c863_1064",-,https://doi.org/10.1007/s11032-021-01264-7
852,"Triticum aestivum",Thermotolerance,"Mixograph peak time",MQTL5D.2,5D,"75.97 - 101.99","Ra_c21355_446, RAC875_rep_c113555_122",-,https://doi.org/10.1007/s11032-021-01264-7
853,"Triticum aestivum",Thermotolerance,"normalized difference vegetation index at vegetative",MQTL5D.3,5D,"110.25 - 118.89","RAC875_rep_c113555_122, wsnp_Ex_c30078_39930134",-,https://doi.org/10.1007/s11032-021-01264-7
854,"Triticum aestivum",Thermotolerance,"normalized difference vegetation index at vegetative",MQTL3D.2,3D,"140.19 - 145.01","wmc529, D_GBF1XID02GHPCU_167",-,https://doi.org/10.1007/s11032-021-01264-7
855,"Triticum aestivum",Thermotolerance,"Plant height",MQTL6A.3,6A,"537.68 - 539.62","wsnp_Ku_c1318_2624758(R), TGCGCG349",-,https://doi.org/10.1007/s11032-021-01264-7
856,"Triticum aestivum",Thermotolerance,"Plant height",MQTL7A.5,7A,"115.29 - 116.27","EXCALIBUR_C1625_1215, wPt2",-,https://doi.org/10.1007/s11032-021-01264-7
857,"Triticum aestivum",Thermotolerance,"Plant height",MQTL4D.3,4D,"58.935 - 62.765","Ex_c16174_685, D_contig26950_309",-,https://doi.org/10.1007/s11032-021-01264-7
858,"Triticum aestivum",Thermotolerance,"Productive tiller",MQTL6B.4,6B,"195.735 - 199.705","wmc486, wsnp_Ex_c6057_10611952(R)",-,https://doi.org/10.1007/s11032-021-01264-7
859,"Triticum aestivum",Thermotolerance,"Proline content",MQTL7A.2,7A,"97.775 - 98.265","gwm1187, EXCALIBUR_C1625_1215",-,https://doi.org/10.1007/s11032-021-01264-7
860,"Triticum aestivum",Thermotolerance,"Spike density",MQTL7D.4,7D,"312.83 - 318.21","wmc473_2, wmc94",-,https://doi.org/10.1007/s11032-021-01264-7
861,"Triticum aestivum",Thermotolerance,"Spikes per plant",MQTL4D.4,4D,"72.6 - 75.02","barc334, wmc89",-,https://doi.org/10.1007/s11032-021-01264-7
862,"Triticum aestivum",Thermotolerance,"Stay green",MQTL1A.2,1A,"82.925 - 91.555","RAC875_c25125_210, gwm905",-,https://doi.org/10.1007/s11032-021-01264-7
863,"Triticum aestivum",Thermotolerance,"stress susceptibility index",MQTL5B.4,5B,"234.74 - 241.08","BooWhite_c1973_383, BooWhite_c20282_164",-,https://doi.org/10.1007/s11032-021-01264-7
864,"Triticum aestivum",Thermotolerance,"stress susceptibility index",MQTL1B.1,1B,"33.195 - 42.065","RFL_Contig293_498, Excalibur_rep_c15165_367",-,https://doi.org/10.1007/s11032-021-01264-7
865,"Triticum aestivum",Thermotolerance,"Temperature depression of flag leaf",MQTL3B.3,3B,"106.94 - 110.48","Kukri_c639_2168, BS00110416_51",-,https://doi.org/10.1007/s11032-021-01264-7
866,"Triticum aestivum",Thermotolerance,"Test weight",MQTL7D.1,7D,"44.49 - 71.17","BobWhite_c28137_293, gwm332B",-,https://doi.org/10.1007/s11032-021-01264-7
867,"Triticum aestivum",Thermotolerance,"Thousand grain weight",MQTL4A.1,4A,"631.615 - 634.665","BS00018120_51, tplb0043j11_1190",-,https://doi.org/10.1007/s11032-021-01264-7
868,"Triticum aestivum",Thermotolerance,"thousand-kernel weight",MQTL4B.5,4B,"146.135 - 149.685","Kukri_c27037_112, barc340a",-,https://doi.org/10.1007/s11032-021-01264-7
869,"Triticum aestivum",Thermotolerance,"vegetative period",MQTL7A.1,7A,"94.495 - 96.165","wPt6460, gwm1187",-,https://doi.org/10.1007/s11032-021-01264-7
870,"Triticum aestivum",Thermotolerance,"Water soluble carbohydrates",MQTL4A.2,4A,"648.425 - 649.115","tplb0043j11_1190, BS00069271_51",-,https://doi.org/10.1007/s11032-021-01264-7
871,"Triticum aestivum",Thermotolerance,"Water soluble carbohydrates",MQTL7D.3,7D,"286.44 - 287.6","gwm3100, Tdurum_contig74815_800",-,https://doi.org/10.1007/s11032-021-01264-7
872,"Triticum aestivum",Thermotolerance,"Wet gluten content",MQTL6B.5,6B,"692.805 - 704.775","wsnp_JD_c1119_1642176, IACX3288",-,https://doi.org/10.1007/s11032-021-01264-7
873,"Triticum aestivum",Thermotolerance,Yield,MQTL7B.1,7B,"79.845 - 80.515","psr129, Ex_c24068_652",-,https://doi.org/10.1007/s11032-021-01264-7
874,"Triticum aestivum",Thermotolerance,Yield,MQTL5B.3,5B,"216.885 - 217.475",1026809D_BooWhite_c1973_383,-,https://doi.org/10.1007/s11032-021-01264-7
875,"Triticum aestivum",Thermotolerance,Yield,MQTL5D.5,5D,"331.09 - 337.21","GENE4974_839, BobWhite_c9761_225",-,https://doi.org/10.1007/s11032-021-01264-7
876,"Triticum aestivum",Thermotolerance,Yield,MQTL2B.2,2B,"119.565 - 125.935","BobWhite_c19433_185, 1243120D",-,https://doi.org/10.1007/s11032-021-01264-7
877,"Triticum aestivum",Thermotolerance,Yield,MQTL5A.3,5A,"380.035 - 380.365",1146968S_2255033D,-,https://doi.org/10.1007/s11032-021-01264-7
878,"Triticum aestivum",Thermotolerance,Yield,MQTL3D.1,3D,"67.7 - 74.3","gwm383, RAC875_c35399_497",-,https://doi.org/10.1007/s11032-021-01264-7
879,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,1A,-,"barc263, wPt7030",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
880,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,1A,-,"wPt8347, s12, m25.6",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
881,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,2A,-,"wmc819, gwm47",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
882,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,2D,-,"cfd233, wmc41",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
883,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,2D,-,"gwm349, wmc167",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
884,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,3A,-,"wPt1688, barc45",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
885,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,3A,-,"wPt9562, wPt9215",-,http://www.plantcell.org/content/plantcell/22/4/1046.full.pdf
